Name,Price,Link,Amenities,Long Term,Minimum Stay,City,Neighborhood,Location,Floor,Square Area,Bedrooms,Bathrooms,Security,Pool,Airconditioning,Parking,Balcony,Pets Allowed,Furnishing,Updated,Latitude,Longitude,Address,Province,Region,Rating,ReviewsCount,school,hospital,shopping_mall,supermarket,church,park,gym,restaurant,bank,pharmacy,police,subway_station,train_station,university,transit_station,bus_station
Condo for Rent Eastwood City 1 Bedroom Unfurnished,22000,https://rentpad.com.ph/long-term-rentals/quezon-city/condo-for-rent-eastwood-city-1-bedroom-unfurnished/d915331918&cl=1,Concierge; Gym; 24/7 Security; Function Rooms,"22,000 /Month",1 Year,Quezon City,Eastwood City,One Orchard Road,18,57,1,1,1,,,,,,Unfurnished,27-Mar-25,14.6096463,121.0796001,"J35H+VR5, Eulogio Rodriguez Jr. Ave, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.6,1872,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Fully Furnished 1 Bedroom Unit at Avida Towers Sola for Rent,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-avida-towers-sola-for-rent/48c202f397&cl=1,Jogging Trail; 24/7 Security; Swimming pool,"25,000 /Month",6 Months,Quezon City,North Avenue Area,Avida Towers Sola,9,34.1,1,1,1,1,,,,,Fully Furnished,28-Jul-25,14.6474332,121.0356739,"Along EDSA, Vertis North, Brgy, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4,23,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Fully Furnished 2 Bedroom Unit at Avida Towers Vita for Rent,42000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-2-bedroom-unit-at-avida-towers-vita-for-rent/87e2c6c132&cl=1,Concierge; Jogging Trail; Gym; Study Hall; 24/7 Security; Function Rooms; Swimming pool,"42,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Vita,22,56,2,1,1,1,,,,,Fully Furnished,1-Sep-25,14.646806,121.036889,"Estate, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,152,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
Fascinating Studio Fully Furnished at Avida Sola,22000,https://rentpad.com.ph/long-term-rentals/quezon-city/fascinating-studio-fully-furnished-at-avida-sola/f8806cab91&cl=1,Concierge; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool,"22,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Sola,5,22,0,1,1,1,,,,,Fully Furnished,10-Sep-25,14.6474332,121.0356739,"Along EDSA, Vertis North, Brgy, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4,23,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Fully Furnished Studio Unit For Rent at One Eastwood Avenue,19000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-studio-unit-for-rent-at-one-eastwood-avenue/373c6ea242&cl=1,Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool,"19,000 /Month",1 Year,Quezon City,Eastwood City,One Eastwood Avenue,17,35,0,1,1,1,,,,,Fully Furnished,17-Jun-25,14.6077212,121.0791733,"Tower One, One Eastwood Ave, Quezon City, 1110 Metro Manila, Philippines",,Metro Manila,4.4,120,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Tower D 1Bed 38sqm For Lease Magnolia New Manila near Robinsons,30000,https://rentpad.com.ph/long-term-rentals/quezon-city/tower-d-1bed-38sqm-for-lease-magnolia-new-manila-near--robinsons/27d63e9f77&cl=1,Concierge; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking,"30,000 /Month",1 Year,Quezon City,New Manila,Magnolia Residences,,38,1,1,1,1,,1,,,Fully Furnished,16-Aug-25,14.6144412,121.0373917,"Robinson's Magnolia Rd, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Semi Furnished 2BR for Rent in Circulo Verde QC,50000,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-2br-for-rent-in-circulo-verde-qc/33fc533f42&cl=1,Concierge; Pets Allowed; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony,"50,000 /Month",1 Year,Quezon City,Libis,Circulo Verde,,48,2,1,1,1,,1,1,1,Semi Furnished,12-Jun-25,14.6036356,121.0865211,"70 Calle Industria, Bagumbayan, Quezon City, 1110 Metro Manila, Philippines",,Metro Manila,4.3,375,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0
Grass Residences 1BR Unit for Rent Quezon City,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/grass-residences-1br-unit-for-rent--quezon-city/685208e797&cl=1,Concierge; Jogging Trail; Gym; 24/7 Security; Function Rooms; Swimming pool,"16,000 /Month",1 Year,Quezon City,North Avenue Area,SM Grass Residences,,24,1,1,1,1,,,,,Fully Furnished,17-Jul-25,14.6600184,121.0282584,"The Grass Residences, Bago Bantay, Quezon City, 1105 Metro Manila, Philippines",,Metro Manila,4.2,1574,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
ALL IN RENT Aircon Room for 1 Renter at Victoria Station EDSA GMA,13000,https://rentpad.com.ph/long-term-rentals/quezon-city/all-in-rent-aircon-room-for-1-renter-at-victoria-station-edsa-gm/055ed93249&cl=1,Concierge; 24/7 Security; Swimming pool,"13,000 /Month",6 Nights,Quezon City,Timog and South Triangle,Victoria Station 1,16,30,1,1,1,1,,,,,Fully Furnished,8-Sep-25,14.6350307,121.0430784,"793 Epifanio de los Santos Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines",,Metro Manila,3.7,107,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Zinnia Towers Studio converted to 1BR Fully Furnished Unit,22000,https://rentpad.com.ph/long-term-rentals/quezon-city/zinnia-towers-studio-converted-to-1br-fully-furnished-unit/00190bbf8&cl=1,Concierge; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking; Storage Space,"22,000 /Month",1 Year,Quezon City,North Avenue Area,Zinnia Towers,30,30,0,1,1,1,1,1,,,Fully Furnished,2-Sep-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Studio Unit with Balcony along Edsa Quezon City,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/studio-unit-with-balcony-along-edsa-quezon-city/3765931e20&cl=1,Concierge; Gym; Study Hall; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony,"25,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Sola,,30,0,1,1,1,,1,1,,Fully Furnished,13-Jun-25,14.630452,121.0459369,"Epifanio de los Santos Ave, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2 Bedroom Units For Rent in Portovita near Araneta Center,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/2-bedroom-units-for-rent-in-portovita-near-araneta-center/09a409b438&cl=1,Concierge; Jogging Trail; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony,"25,000 /Month",1 Year,Quezon City,Araneta Center Cubao,Portovita Towers,6,45,2,1,1,1,,1,1,,Fully Furnished,8-Sep-25,14.6817003,121.1002086,"114 Session Rd, Quezon City, 1126 Metro Manila, Philippines",,Metro Manila,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
1BR Unit at Eastwood LeGrande Tower Quezon City for Rent,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/1br-unit-at-eastwood-legrande-tower-quezon-city--for-rent/ea3b52b950&cl=1,Concierge; Pets Allowed; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Storage Space,"20,000 /Month",1 Year,Quezon City,Eastwood City,Eastwood LeGrande Tower,14,45,1,1,1,1,1,,,1,Unfurnished,21-Jan-25,14.6075776,121.0818933,"1, 1800 Economia Road, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,165,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
1BR Fully Furnished for Rent at Sun Residences,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/1br-fully-furnished-for-rent-at-sun-residences/083c2dbd49&cl=1,Jogging Trail; Study Hall; 24/7 Security; Function Rooms; Swimming pool; Balcony,"20,000 /Month",1 Year,Quezon City,Santa Mesa Heights,SM Sun Residences,35,28,1,1,1,1,,,1,,Fully Furnished,14-Feb-25,14.6182258,121.0006251,"Sun Residences Tower 1, Rotonda, Florentino St, Quezon City, 1114 Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1BR Fully Furnished Condo for Rent at SM Grass Residences,24880,https://rentpad.com.ph/long-term-rentals/quezon-city/1br-fully-furnished-condo-for-rent-at-sm-grass-residences/7919e10f82&cl=1,Concierge; Jogging Trail; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony,"24,880 /Month",1 Months,Quezon City,North Avenue Area,SM Grass Residences,33,30,1,1,1,1,,1,1,,Fully Furnished,7-Aug-25,14.6580639,121.0290948,"Grass Residences-SM North Edsa Walkway, Quezon City, Metro Manila, Philippines",,Metro Manila,4.6,16,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
53 Benitez 3BR with 1 Parking Slot,65000,https://rentpad.com.ph/long-term-rentals/quezon-city/53-benitez-3br-with-1-parking-slot/bf98267b24&cl=1,,"65,000 /Month",1 Year,Quezon City,New Manila,53 Benitez,8,95,3,3,,,,,,,Fully Furnished,21-Apr-25,14.6145245,121.0462309,"53 C. Benitez St, Quezon City, Metro Manila, Philippines",,Metro Manila,4.6,91,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
AVIDAASTREA091XT2 for Rent Fully Furnished 1BR in Avida Astrea,15000,https://rentpad.com.ph/long-term-rentals/quezon-city/avidaastrea091xt2-for-rent-fully-furnished-1br-in-avida-astrea/e69f7de496&cl=1,24/7 Security; Swimming pool,"15,000 /Month",6 Months,Quezon City,Novaliches,Avida Towers Astrea,9,22.5,1,1,1,1,,,,,Fully Furnished,31-Aug-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Avida Towers Vita 2BR 2TB Fully Furnished with Parking,45000,https://rentpad.com.ph/long-term-rentals/quezon-city/avida-towers-vita-2br-2tb-fully-furnished-with-parking/9cfe423435&cl=1,Concierge; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking; Storage Space,"45,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Vita,,65,2,2,1,1,1,1,,,Fully Furnished,2-Sep-25,14.646806,121.036889,"Estate, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,152,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
COMM06XXQE for Rent Fully Furnished Studio with Balcony,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/comm06xxqe-for-rent-fully-furnished-studio-with-balcony/84724b7d36&cl=1,24/7 Security; Swimming pool; Balcony,"16,000 /Month",6 Months,Quezon City,Commonwealth Area,The Residences at Commonwealth by Century,6,20,0,1,1,1,,,1,,Fully Furnished,29-Aug-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Smartly Furnished 1BR Condo With Balcony At Grass Residences Besi,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/smartly-furnished-1br-condo-with-balcony-at-grass-residences-bes/186ca37544&cl=1,Concierge; Jogging Trail; Gym; 24/7 Security; Swimming pool; Parking; Balcony,"16,000 /Month",1 Year,Quezon City,North Avenue Area,SM Grass Residences,15,26.09,1,1,1,1,,1,1,,Fully Furnished,5-Sep-25,14.6279498,121.0318974,"PH, Scout, Viera Residences, Sct. Tuason St, Quezon City, 1103 Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
Fully Furnished 2BR for Lease at Eastwood Park Residences,50000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-2br-for-lease-at-eastwood-park-residences/98bd0c2527&cl=1,,"50,000 /Month",6 Months,Quezon City,Eastwood City,Eastwood Park Residences,24,89,2,2,,,,,,,Fully Furnished,16-Aug-25,14.610167,121.0802633,"111 Orchard Rd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Fully Furnished 1 Bedroom Unit at Eastwood Le Grand for Rent,55000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-eastwood-le-grand-for-rent/d7659ed226&cl=1,Concierge; Jogging Trail; Gym; 24/7 Security; Function Rooms; Swimming pool; Balcony,"55,000 /Month",1 Year,Quezon City,Eastwood City,Eastwood Le Grand,12,71,1,2,1,1,,,1,,Fully Furnished,1-Sep-25,14.6075776,121.0818933,"1, 1800 Economia Road, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,165,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
4Bedrooms 600sqm Fully Furnished House at 8 Acacia New Manila for,220000,https://rentpad.com.ph/long-term-rentals/quezon-city/4bedrooms-600sqm-fully-furnished-house-at-8-acacia-new-manila-fo/74c5335a90&cl=1,Concierge; Pets Allowed; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony; Storage Space,"220,000 /Month",1 Year,Quezon City,,,,600,4,4,1,1,1,1,1,1,Fully Furnished,12-Jun-25,14.6189986,121.0389817,"8 Acacia, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Fully Furnished 1 Bedroom Unit at The Arton for Rent,42000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-the-arton-for-rent/7962a25361&cl=1,,"42,000 /Month",1 Year,Quezon City,Loyola Heights,The Arton,8,47,1,1,,,,,,,Fully Furnished,9-Sep-25,14.6317311,121.0749915,"Aurora Blvd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Eastwood Legrande Tower 2BR Loft for Rent,80000,https://rentpad.com.ph/long-term-rentals/quezon-city/eastwood-legrande-tower-2br-loft-for-rent/0794616428&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Storage Space,"80,000 /Month",1 Year,Quezon City,Eastwood City,Eastwood LeGrande Tower,28,105,2,2,1,1,1,1,,,Fully Furnished,21-Jan-25,14.6075776,121.0818933,"1, 1800 Economia Road, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,165,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
2 Bedroom Unit in One Orchard Road,40000,https://rentpad.com.ph/long-term-rentals/quezon-city/2-bedroom-unit-in-one-orchard-road/75e5180f25&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Storage Space,"40,000 /Month",1 Year,Quezon City,Eastwood City,One Orchard Road,18,73,2,2,1,1,1,1,,,Fully Furnished,28-Mar-25,14.610659,121.0785645,"One Orchard Road, Orchard Road, Eastwood City Cyberpark, Bagumbayan, Quezon City, Metro Manila, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
For Lease 1BR Unit with Parking Unfurnished,40000,https://rentpad.com.ph/long-term-rentals/quezon-city/for-lease-1br-unit-with-parking-unfurnished/8a78cd2675&cl=1,Concierge; Gym; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony,"40,000 /Month",1 Year,Quezon City,Loyola Heights,The Arton,,47,1,1,1,1,,1,1,,Unfurnished,21-Apr-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Brand New Studio Unit in Avida Sola Tower 2 for Rent in Vertis No,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/brand-new-studio-unit-in-avida-sola-tower-2-for-rent-in-vertis-n/3d7a5f9f62&cl=1,Gym; 24/7 Security; Function Rooms; Swimming pool; Balcony,"20,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Sola,31,23,0,1,1,1,,,1,,Fully Furnished,12-Aug-25,14.647465,121.0368095,"J2WP+XPM, Quezon City, Metro Manila, Philippines",,Metro Manila,5,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2 Bedroom Fully Furnished for Lease in Infina Towers,35000,https://rentpad.com.ph/long-term-rentals/quezon-city/2-bedroom-fully-furnished-for-lease-in-infina-towers/3e36c2cf55&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Balcony,"35,000 /Month",1 Year,Quezon City,Araneta Center Cubao,Infina Towers,22,53.5,2,1,1,1,,,1,,Fully Furnished,16-Aug-25,14.6282201,121.0674028,"992 Aurora Blvd, Project 4, Quezon City, Metro Manila, Philippines",,Metro Manila,4.7,185,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
For Rent Studio Unit at Victoria de Morato 20K only,19000,https://rentpad.com.ph/long-term-rentals/quezon-city/for-rent-studio-unit-at-victoria-de-morato-20k-only/691ebf0c22&cl=1,,"19,000 /Month",1 Year,Quezon City,Timog and South Triangle,Victoria De Morato,42,24,0,1,,,,,,,Fully Furnished,5-Aug-25,14.6364954,121.0364155,"38 Scout Borromeo St, cor Tomas Morato Ave, Diliman, Quezon City, Metro Manila, Philippines",,Metro Manila,3.5,101,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
Fully Furnished 2 Bedroom in The Magnolia Residences New Manila,40000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-2-bedroom-in-the-magnolia-residences-new-manila/1827d9ba75&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Balcony; Storage Space,"40,000 /Month",1 Year,Quezon City,New Manila,Magnolia Residences,26,63,2,1,1,1,1,,1,,Fully Furnished,5-Sep-25,14.6137831,121.0393301,"cor N.Domingo, J27Q+GP8, Doña Hemady St, Quezon City, 1112 Metro Manila, Philippines",,Metro Manila,4.2,14,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1 Bedroom Unit in Vita Tower 2 Vertis North QC for Rent,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/1-bedroom-unit-in-vita-tower-2--vertis-north--qc-for-rent/85471e5731&cl=1,Jogging Trail; Gym; Play Room; 24/7 Security; Swimming pool,"25,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Vita,20,36,1,1,1,1,,,,,Fully Furnished,12-Aug-25,14.646806,121.036889,"Estate, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,152,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
Avida Towers Vita Studio Interior Designed Unit for Rent,19000,https://rentpad.com.ph/long-term-rentals/quezon-city/avida-towers-vita-studio-interior-designed-unit-for-rent/ffe7dfad10&cl=1,Concierge; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Storage Space,"19,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Vita,27,22.4,0,1,1,1,1,,,,Fully Furnished,2-Sep-25,14.646806,121.036889,"Estate, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,152,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
STUDIOA16XX for Rent Fully Furnished Studio at Studio A,15000,https://rentpad.com.ph/long-term-rentals/quezon-city/studioa16xx-for-rent-fully-furnished-studio-at-studio-a/32e4f36344&cl=1,24/7 Security; Swimming pool,"15,000 /Month",6 Months,Quezon City,Loyola Heights,Studio A,16,21,0,1,1,1,,,,,Fully Furnished,9-Aug-25,14.6344883,121.0731133,"J3MF+Q6X, Esteban Abada St, Quezon City, Metro Manila, Philippines",,Metro Manila,2.2,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Fully Furnished 1 Bedroom Unit at SM Grass Residences for Rent,18000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-sm-grass-residences-for-rent/f6268ade37&cl=1,Concierge; Jogging Trail; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking,"18,000 /Month",1 Year,Quezon City,North Avenue Area,SM Grass Residences,30,24,1,1,1,1,,1,,,Fully Furnished,31-Aug-25,14.6580639,121.0290948,"Grass Residences-SM North Edsa Walkway, Quezon City, Metro Manila, Philippines",,Metro Manila,4.6,16,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Fully Furnished 2 BR unit at Centro Tower at Cubao Quezon City,70000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-2-br-unit-at-centro-tower-at-cubao-quezon-city/dd66c2d56&cl=1,Concierge; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Balcony,"70,000 /Month",1 Night,Quezon City,Araneta Center Cubao,Centro Tower,,83,2,2,1,1,,,1,,Fully Furnished,18-Aug-25,14.6167772,121.0442291,"J28V+PM9, P. Tuazon Blvd, Cubao, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Spacious 2BR Loft with Balcony Eastwood Legrand for Lease,65000,https://rentpad.com.ph/long-term-rentals/quezon-city/spacious-2br-loft-with-balcony-eastwood-legrand-for-lease/284b694246&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony; Storage Space,"65,000 /Month",1 Year,Quezon City,Eastwood City,Eastwood LeGrande Tower,22,118,2,2,1,1,1,1,1,,Fully Furnished,2-Aug-25,14.6075776,121.0818933,"1, 1800 Economia Road, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,165,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Avida Sola Studio unit Furnished with bed refrigerator cabinet a,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/avida-sola-studio-unit-furnished-with-bed--refrigerator-cabinet-/c3e191d449&cl=1,,"16,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Sola,,22,0,1,,,,,,,Fully Furnished,24-Jul-25,14.6474332,121.0356739,"Along EDSA, Vertis North, Brgy, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4,23,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
5BR House for Rent in Bagong Pag Asa QC,160000,https://rentpad.com.ph/long-term-rentals/quezon-city/5br-house-for-rent-in-bagong-pag-asa-qc/d5e50f4a10&cl=1,Parking,"160,000 /Month",1 Year,Quezon City,,,,420,5,5,,,,1,,,Unfurnished,23-Jul-25,14.6593553,121.0327933,"Bagong Pag-asa, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Fully Furnished Studio Unit at Vinia Residences for Rent,17000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-studio-unit-at-vinia-residences-for-rent/e28e9f5267&cl=1,24/7 Security; Swimming pool,"17,000 /Month",6 Months,Quezon City,North Avenue Area,Vinia Residences,24,22,0,1,1,1,,,,,Fully Furnished,30-Jun-25,14.6187628,121.0751912,"31 Twin Peak Dr, Project 4, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,5,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
For Rent Spacious 6 Bedroom House in Ayala Heights Quezon City,200000,https://rentpad.com.ph/long-term-rentals/quezon-city/for-rent-spacious-6-bedroom-house-in-ayala-heights-quezon-city/1c306cfd6&cl=1,,"200,000 /Month",1 Year,Quezon City,,Ayala Heights,,650,6,5,,,,,,,Unfurnished,6-Aug-25,14.664469,121.0906752,"Ayala Heights, 42 Tirad Pass St, Quezon City, 1119 Metro Manila, Philippines",,Metro Manila,,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Semi Furnished 2 Bedroom Unit at Magnolia Residences for Rent,70000,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-2-bedroom-unit-at-magnolia-residences-for-rent/5eeed5da6&cl=1,Concierge; Pets Allowed; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony; Storage Space,"70,000 /Month",1 Year,Quezon City,New Manila,Magnolia Residences,,82.95,2,2,1,1,1,1,1,1,Semi Furnished,25-Aug-25,14.6138356,121.0384865,"The Magnolia Residences, Doña Hemady St, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Stunning Semi Furnished Studio at Alveo High Park,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/stunning-semi-furnished-studio-at-alveo-high-park/e99f7d7f59&cl=1,Concierge; Jogging Trail; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool,"25,000 /Month",1 Year,Quezon City,Diliman,High Park Vertis,15,32,0,1,1,1,,,,,Semi Furnished,26-Aug-25,14.6480664,121.0383708,"J2XQ+68H, Agham , Diliman, Quezon City, Metro Manila, Philippines",,Metro Manila,4.3,23,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
New Comfy Fully Furnished Studio Unit at Eastwood Global Plaza,23000,https://rentpad.com.ph/long-term-rentals/quezon-city/new-comfy-fully-furnished-studio-unit-at-eastwood-global-plaza/f5f71db283&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Storage Space,"23,000 /Month",1 Year,Quezon City,Eastwood City,Eastwood Global Plaza Luxury Residence,24,28,0,1,1,1,1,1,,,Fully Furnished,3-Sep-25,14.6074846,121.0815122,"Eastwood City, Eastwood Palm Tree Avenue, Bagumbayan, Quezon City, 1109 Metro Manila, Philippines",,Metro Manila,4.1,36,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Furnished Studio at Studio A in Xavierville Esteban Abada Loyala,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/furnished-studio-at-studio-a-in-xavierville-esteban-abada-loyala/4052ec8167&cl=1,Gym; Study Hall; Function Rooms; Swimming pool,"25,000 /Month",1 Year,Quezon City,Loyola Heights,Studio A,10,21,0,1,,1,,,,,Fully Furnished,30-Aug-25,14.6344883,121.0731133,"J3MF+Q6X, Esteban Abada St, Quezon City, Metro Manila, Philippines",,Metro Manila,2.2,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
